,Street,DayOfWeek,City,Hour,Month,Temperature(F),Weather_Condition,Humidity(%),Visibility(mi),Precipitation(in),High_Risk_Prediction,High_Risk_Probability
7346817,I-5 S,Tuesday,Mountlake Terrace,10,9,59.0,Cloudy,83.0,10.0,0.0,1,0.76
491184,WA-18 E,Wednesday,Federal Way,14,7,79.0,Partly Cloudy,38.0,10.0,0.007711515863689778,1,0.82
3524340,Alaskan Way Via,Tuesday,Seattle,12,11,57.0,Mostly Cloudy,89.0,10.0,0.0,1,0.76
752869,I-405 S,Tuesday,Bellevue,6,12,27.0,Cloudy,85.0,5.0,0.0,1,0.59
3214654,NE Points Dr,Wednesday,Kirkland,7,10,44.1,Clear,89.0,10.0,0.007711515863689778,1,0.51
3037032,I-5 N,Thursday,Tacoma,7,1,35.6,Overcast,100.0,10.0,0.007711515863689778,1,0.855
7605754,I-5 N,Wednesday,Tacoma,23,11,45.1,Mostly Cloudy,99.0,10.0,0.007711515863689778,1,0.8733333333333334
309975,NE 72nd Pl,Wednesday,Kirkland,0,11,46.9,Light Rain,93.0,10.0,0.03,1,0.86
1288742,I-5 N,Monday,Lakewood,16,9,70.0,Smoke,61.0,1.0,0.0,1,0.64
1685122,220th St SW,Wednesday,Mountlake Terrace,9,12,47.0,Cloudy,93.0,7.0,0.01,1,0.8175
6998860,I-5 S,Saturday,Kent,11,5,55.0,Mostly Cloudy,69.0,10.0,0.0,1,0.54
3349921,Madison St,Sunday,Seattle,4,8,62.1,Smoke,93.0,10.0,0.007711515863689778,1,0.7233333333333334
7278475,I-5 N,Friday,Seattle,9,10,54.0,Mostly Cloudy,72.0,10.0,0.0,1,0.5518333333333334
307946,WA-512 W,Monday,Lakewood,12,12,42.1,Overcast,75.0,10.0,0.007711515863689778,1,0.58
7191622,I-5 S,Tuesday,Lakewood,6,1,46.0,Light Rain,100.0,10.0,0.14,1,0.76
2641191,I-90 W,Thursday,Ellensburg,2,8,70.0,Haze,55.0,4.0,0.007711515863689778,1,0.83
3613194,I-405 S,Friday,Seattle,10,5,64.0,Clear,63.0,10.0,0.007711515863689778,1,0.5016666666666667
772006,I-5 S,Monday,Seattle,5,12,39.0,Cloudy,89.0,10.0,0.01,1,0.63
5505245,I-5 S,Wednesday,Kelso,7,12,46.0,Light Rain,93.0,10.0,0.01,1,0.595
909149,S Kent des Moines Rd,Sunday,Kent,22,8,62.0,Fair,72.0,10.0,0.0,1,0.56
7054722, State Route 9 SE,Sunday,Snohomish,0,6,58.0,Cloudy,93.0,10.0,0.0,1,0.73
3530105,I-405 N,Friday,Bellevue,8,9,55.0,Overcast,86.0,10.0,0.0,1,0.8841666666666665
